City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
534,Knysna,ZA,70.18,clear sky,-34.0363,23.0471,Protea Hotel by Marriott Knysna Quays
536,Bosaso,SO,79.12,scattered clouds,11.2842,49.1816,Red Sea Hotel
537,Poya,NC,80.11,overcast clouds,-21.35,165.15,
539,Fare,PF,81.34,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
541,Farafangana,MG,81.12,light rain,-22.8167,47.8333,Miarina
546,Caucayá,CO,71.28,overcast clouds,-0.1934,-74.7819,la casona de juancho
550,Kualakapuas,ID,82.56,moderate rain,-3.0091,114.3876,Guest House Izonk
553,Kirando,TZ,72.03,light rain,-7.4167,30.6,Lakeshore Lodge
555,Sur,OM,72.95,clear sky,22.5667,59.5289,Sur Plaza Hotel
556,Redcliffe,AU,79.0,broken clouds,-27.2307,153.0973,Redvue Apartments
558,Owando,CG,78.85,clear sky,-0.4819,15.8999,Exaunel Hotel Owando
561,Son La,VN,78.31,scattered clouds,21.3167,103.9,Galaxy Grand Hotel
564,Dorado,PR,73.76,overcast clouds,18.4588,-66.2677,Embassy Suites by Hilton Dorado del Mar Beach Resort
567,Mogadishu,SO,81.32,overcast clouds,2.0371,45.3438,Hotel Juba
571,São José da Coroa Grande,BR,78.96,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
572,West Bay,KY,78.01,overcast clouds,19.3667,-81.4167,Calypso Cove
578,Beloha,MG,74.43,moderate rain,-25.1667,45.05,
580,San Alberto,CO,73.51,broken clouds,7.7611,-73.3922,Hotel San Alberto Plaza
585,Bacuag,PH,82.13,broken clouds,9.6081,125.6389,La Casa de Roca
588,Ciudad del Carmen,MX,71.1,broken clouds,18.6333,-91.8333,Hotel Lossandes
589,Koungheul,SN,70.88,clear sky,13.9833,-14.8,
593,Lakes Entrance,AU,70.57,clear sky,-37.8811,147.981,The Esplanade Resort & Spa
595,Koungou,YT,82.11,light rain,-12.7336,45.2042,Villa Netibor
596,Ixtapa,MX,70.23,clear sky,20.7,-105.2,Hotel Plaza Providencia
597,Puerto Colombia,CO,78.89,clear sky,10.9878,-74.9547,Hotel El Emigrante
598,Numan,NG,75.45,clear sky,9.4667,12.0333,Zangun Motel
599,Hobyo,SO,80.87,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
602,Upata,VE,72.19,overcast clouds,8.0086,-62.3989,Posada Villa Nela
603,Pochutla,MX,73.81,clear sky,15.7432,-96.4661,Hotel Posada San Jose
609,Maragogi,BR,78.76,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
616,Bukama,CD,70.65,light rain,-9.2,25.85,
617,Kokoda,PG,82.0,overcast clouds,-8.8785,147.7407,Daito Guest House
618,Sorong,ID,83.14,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
623,San Carlos,VE,73.6,scattered clouds,9.6612,-68.5827,Hotel Paternopoli
632,Tual,ID,84.31,broken clouds,-5.6667,132.75,Grand Vilia Hotel
635,Bonthe,SL,73.9,clear sky,7.5264,-12.505,Bonthe Holiday Village
636,Malindi,KE,81.73,overcast clouds,-3.2175,40.1191,African House Resort
637,Turan,VN,82.38,few clouds,16.0678,108.2208,Sun River Hotel
638,Pontian Kecil,MY,84.97,moderate rain,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
640,Wanning,CN,77.43,broken clouds,18.8003,110.3967,Paradise Hotel
650,Sydney,AU,73.22,broken clouds,-33.8679,151.2073,The Grace Sydney
652,Maunabo,PR,74.43,light rain,18.0072,-65.8993,Maunacaribe
654,Innisfail,AU,77.94,broken clouds,-17.5333,146.0333,Moondarra Motel
657,Swellendam,ZA,70.18,few clouds,-34.0226,20.4417,De Kloof Luxury Estate boutique Hotel & SPA
660,Camopi,GF,70.65,overcast clouds,3.1655,-52.3158,La pousada
662,Pilar,BR,71.53,clear sky,-9.5972,-35.9567,Pousada e churrascaria Manguaba
663,San Andrés,CO,78.82,few clouds,12.5847,-81.7006,Hotel Arena Blanca
665,San Miguel de Cozumel,MX,73.38,clear sky,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
671,Esim,GH,77.77,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
673,Salvacion,PH,82.02,scattered clouds,7.9833,126.1333,
676,Sāmbhar,IN,73.56,clear sky,26.9167,75.2,Sambhar Heritage Resort
680,Launceston,AU,77.14,scattered clouds,-41.45,147.1667,Hotel Grand Chancellor Launceston
687,Ibanda,TZ,70.88,overcast clouds,-2.7974,32.4746,Lahe Hotel Mwanza
688,Manta,EC,74.98,overcast clouds,-0.95,-80.7333,Balandra Hotel
690,Bocas del Toro,PA,74.7,clear sky,9.3333,-82.25,Hotel Bocas del Toro
692,Waiuku,NZ,72.32,overcast clouds,-37.25,174.75,Waiuku Lodge Motel
693,Dajal,PK,71.98,clear sky,29.5577,70.3762,LADLA CHOUDHARY HOUSE
