city_id,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
118,Sola,VU,-13.8833,167.55,82.78,82,100,22.12,light rain
119,Jalu,LY,29.0331,21.5482,56.91,34,0,6.98,clear sky
120,Kruisfontein,ZA,-34.0033,24.7314,79.88,41,0,3.91,clear sky
121,Mehamn,NO,71.0357,27.8492,23.18,85,24,11.83,few clouds
122,Longyearbyen,SJ,78.2186,15.6401,17.44,73,75,5.75,light snow
123,Broome,US,42.2506,-75.833,23.9,84,0,1.99,clear sky
124,Evensk,RU,61.95,159.2333,-0.83,71,11,8.52,few clouds
125,Nizhniy Tsasuchey,RU,50.5167,115.1333,20.64,75,16,5.44,few clouds
126,Bengkulu,ID,-3.8004,102.2655,83.79,67,83,15.35,broken clouds
127,Airai,TL,-8.9266,125.4092,69.31,83,100,2.21,heavy intensity rain
128,Riviere-au-Renard,CA,48.9957,-64.3971,10.69,82,100,8.7,overcast clouds
129,Ribeira Grande,PT,38.5167,-28.7,60.15,83,16,18.66,few clouds
130,Lebyazh'ye,RU,55.2689,66.4947,10.78,86,10,7.94,clear sky
131,Mount Isa,AU,-20.7333,139.5,94.77,28,40,8.05,light rain
132,Aginskoye,RU,51.1,114.53,19.9,77,10,8.88,clear sky
133,Bethel,US,41.3712,-73.414,30.92,84,100,0.0,overcast clouds
134,Beringovskiy,RU,63.05,179.3167,-18.63,97,19,8.63,few clouds
135,Kattivākkam,IN,13.2167,80.3167,87.89,65,24,10.27,few clouds
136,Bathsheba,BB,13.2167,-59.5167,75.81,88,75,18.41,broken clouds
137,São Gabriel da Cachoeira,BR,-0.1303,-67.0892,71.44,100,100,0.83,light rain
138,Daru,PG,-9.0763,143.2092,83.26,79,100,5.84,overcast clouds
139,Panzhihua,CN,26.5851,101.7128,64.98,35,12,3.87,few clouds
140,La Rioja,ES,42.25,-2.5,33.12,86,75,4.43,broken clouds
141,Kasempa,ZM,-13.4584,25.8338,64.69,98,100,2.39,moderate rain
142,Ust-Maya,RU,60.4167,134.5333,-19.79,97,94,1.74,overcast clouds
143,Krishnarajasagara,IN,12.4089,76.5797,82.33,54,20,5.75,few clouds
144,Altay,CN,47.8667,88.1167,19.26,66,17,0.63,few clouds
